Year;Month;Day;Hour;Minute;DHI;DNI;GHI;Clearsky DHI;Clearsky DNI;Clearsky GHI;Cloud Type;Dew Point;Solar Zenith Angle;Surface Albedo;Wind Speed;Relative Humidity;Temperature;Pressure
2014;1;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-6;124.02;0.12;3.5;78.43;-3;1010
2014;1;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-5;135.09;0.12;3.8;81.74;-3;1010
2014;1;1;2;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-5;145.77;0.12;4.2;81.25;-3;1010
2014;1;1;3;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-6;155.07;0.12;4.5;74.14;-3;1010
2014;1;1;4;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-8;160.55;0.12;4.6;72.8;-4;1010
2014;1;1;5;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-8;158.86;0.12;4.6;68.48;-4;1010
2014;1;1;6;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-9;151.26;0.12;4.5;71.57;-5;1010
2014;1;1;7;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-9;141.17;0.12;4.4;69.95;-5;1020
2014;1;1;8;0;0.0;0.0;0.0;0.0;0.0;0.0;Super-Cooled Water;-9;130.24;0.12;4.3;74.24;-6;1020
2014;1;1;9;0;0.0;0.0;0.0;0.0;0.0;0.0;Super-Cooled Water;-10;119.14;0.12;4.3;73.07;-6;1020
2014;1;1;10;0;0.0;0.0;0.0;0.0;0.0;0.0;Super-Cooled Water;-10;108.2;0.12;4.1;72.43;-6;1020
2014;1;1;11;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-10;97.73;0.12;3.9;72.47;-6;1020
2014;1;1;12;0;15.0;232.0;23.0;15.0;232.0;23.0;Probably Clear;-9;88.0;0.12;3.7;68.04;-5;1020
2014;1;1;13;0;47.0;630.0;162.0;47.0;630.0;162.0;Probably Clear;-9;79.4;0.12;3.7;64.0;-4;1020
2014;1;1;14;0;62.0;781.0;298.0;62.0;781.0;298.0;Clear;-10;72.39;0.12;3.6;58.17;-3;1020
2014;1;1;15;0;69.0;847.0;394.0;69.0;847.0;394.0;Clear;-10;67.49;0.12;3.6;52.61;-2;1020
2014;1;1;16;0;135.0;487.0;339.0;73.0;865.0;436.0;Super-Cooled Water;-10;65.21;0.12;3.5;52.58;-2;1020
2014;1;1;17;0;162.0;307.0;288.0;72.0;854.0;421.0;Super-Cooled Water;-10;65.84;0.12;3.5;53.34;-2;1020
2014;1;1;18;0;106.0;495.0;281.0;66.0;811.0;353.0;Super-Cooled Water;-10;69.29;0.12;3.4;54.33;-2;1020
2014;1;1;19;0;77.0;427.0;187.0;56.0;703.0;236.0;Super-Cooled Water;-9;75.16;0.12;3.2;55.62;-2;1020
2014;1;1;20;0;36.0;468.0;94.0;36.0;468.0;94.0;Probably Clear;-9;82.92;0.12;3.0;57.4;-2;1020
2014;1;1;21;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-8;92.05;0.12;2.8;65.28;-3;1020
2014;1;1;22;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-8;102.14;0.12;2.7;71.26;-4;1020
2014;1;1;23;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-8;112.84;0.12;2.4;71.33;-4;1020
2014;1;2;0;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-8;123.88;0.866;2.0;71.83;-4;1020
2014;1;2;1;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-8;134.96;0.866;1.7;70.76;-4;1020
2014;1;2;2;0;0.0;0.0;0.0;0.0;0.0;0.0;Super-Cooled Water;-8;145.63;0.866;1.5;69.23;-4;1020
2014;1;2;3;0;0.0;0.0;0.0;0.0;0.0;0.0;Cirrus;-8;154.94;0.866;1.3;69.17;-4;1020
2014;1;2;4;0;0.0;0.0;0.0;0.0;0.0;0.0;Super-Cooled Water;-8;160.45;0.866;1.3;70.37;-4;1020
2014;1;2;5;0;0.0;0.0;0.0;0.0;0.0;0.0;Super-Cooled Water;-8;158.83;0.866;1.4;72.26;-4;1020
2014;1;2;6;0;0.0;0.0;0.0;0.0;0.0;0.0;Cirrus;-7;151.27;0.866;1.6;74.67;-4;1020
2014;1;2;7;0;0.0;0.0;0.0;0.0;0.0;0.0;Cirrus;-7;141.2;0.866;1.9;77.72;-4;1020
2014;1;2;8;0;0.0;0.0;0.0;0.0;0.0;0.0;Overlapping;-6;130.28;0.866;2.4;80.11;-4;1020
2014;1;2;9;0;0.0;0.0;0.0;0.0;0.0;0.0;Cirrus;-6;119.17;0.866;2.8;82.53;-4;1020
2014;1;2;10;0;0.0;0.0;0.0;0.0;0.0;0.0;Cirrus;-6;108.23;0.866;3.0;84.29;-4;1020
2014;1;2;11;0;0.0;0.0;0.0;0.0;0.0;0.0;Cirrus;-6;97.75;0.866;3.1;85.82;-4;1020
2014;1;2;12;0;;;;;;;;-5;88.01;0.866;3.3;81.81;-3;1010
2014;1;2;13;0;69.0;89.0;86.0;90.0;277.0;141.0;Cirrus;-5;79.39;0.866;3.6;79.15;-2;1010
2014;1;2;14;0;114.0;22.0;121.0;134.0;459.0;273.0;Cirrus;-4;72.35;0.866;4.1;83.36;-2;1010
2014;1;2;15;0;48.0;0.0;48.0;162.0;539.0;370.0;Cirrus;-3;67.43;0.866;4.4;81.52;-1;1010
2014;1;2;16;0;169.0;37.0;184.0;170.0;586.0;416.0;Cirrus;-3;65.13;0.866;4.6;79.23;0;1010
2014;1;2;17;0;151.0;12.0;156.0;160.0;597.0;406.0;Opaque Ice;-2;65.73;0.866;4.8;81.9;0;1010
2014;1;2;18;0;130.0;10.0;133.0;141.0;552.0;338.0;Opaque Ice;-2;69.17;0.866;5.1;83.32;0;1010
2014;1;2;19;0;95.0;14.0;99.0;110.0;434.0;223.0;Opaque Ice;-2;75.03;0.866;5.3;83.91;0;1010
2014;1;2;20;0;;;;;;;;-2;82.78;0.866;5.6;89.24;-1;1010
2014;1;2;21;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-2;91.91;0.866;5.9;87.15;-1;1000
2014;1;2;22;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-3;101.99;0.866;6.0;91.45;-2;1000
2014;1;2;23;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-3;112.7;0.866;6.1;89.86;-2;1000
2014;1;3;0;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-3;123.74;0.866;6.3;88.35;-2;1000
2014;1;3;1;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-4;134.82;0.866;6.5;92.57;-3;1000
2014;1;3;2;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-4;145.49;0.866;6.7;89.14;-3;1000
2014;1;3;3;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-5;154.8;0.866;6.8;92.45;-4;1000
2014;1;3;4;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-5;160.34;0.866;6.9;89.05;-4;1000
2014;1;3;5;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-6;158.78;0.866;7.0;90.94;-5;1000
2014;1;3;6;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-7;151.27;0.866;7.2;91.39;-6;1000
2014;1;3;7;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-7;141.22;0.866;7.4;92.79;-7;1000
2014;1;3;8;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-8;130.31;0.866;7.5;88.74;-7;1000
2014;1;3;9;0;0.0;0.0;0.0;0.0;0.0;0.0;Opaque Ice;-9;119.2;0.866;7.7;91.72;-8;1000
2014;1;3;10;0;0.0;0.0;0.0;0.0;0.0;0.0;Cirrus;-9;108.26;0.866;7.8;92.91;-9;1000
2014;1;3;11;0;0.0;0.0;0.0;0.0;0.0;0.0;Cirrus;-10;97.76;0.866;7.7;92.4;-10;1000
2014;1;3;12;0;;;;;;;;-12;88.01;0.866;7.5;92.13;-11;1000
2014;1;3;13;0;25.0;0.0;25.0;75.0;423.0;153.0;Cirrus;-12;79.38;0.866;7.3;94.72;-12;1000
2014;1;3;14;0;123.0;162.0;172.0;108.0;606.0;292.0;Super-Cooled Water;-12;72.32;0.866;7.0;85.85;-11;1000
2014;1;3;15;0;120.0;716.0;396.0;120.0;716.0;396.0;Probably Clear;-12;67.37;0.866;6.7;87.44;-11;1000
2014;1;3;16;0;184.0;131.0;240.0;122.0;771.0;447.0;Super-Cooled Water;-12;65.04;0.866;6.5;83.62;-10;1000
2014;1;3;17;0;179.0;157.0;243.0;117.0;775.0;437.0;Super-Cooled Water;-11;65.62;0.866;6.2;86.36;-10;1010
2014;1;3;18;0;93.0;784.0;373.0;93.0;784.0;373.0;Clear;-11;69.04;0.866;6.0;88.32;-10;1010
2014;1;3;19;0;75.0;688.0;255.0;75.0;688.0;255.0;Clear;-11;74.89;0.866;5.8;87.92;-10;1010
2014;1;3;20;0;43.0;498.0;107.0;43.0;498.0;107.0;Clear;-11;82.64;0.866;5.6;85.48;-10;1010
2014;1;3;21;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-12;91.77;0.866;5.5;87.6;-11;1010
2014;1;3;22;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-13;101.85;0.866;5.4;89.82;-12;1020
2014;1;3;23;0;0.0;0.0;0.0;0.0;0.0;0.0;Clear;-13;112.55;0.866;5.2;85.29;-12;1020
2014;1;4;0;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-14;123.59;0.866;4.9;88.32;-13;1020
2014;1;4;1;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-15;134.67;0.866;4.6;91.66;-14;1020
2014;1;4;2;0;0.0;0.0;0.0;0.0;0.0;0.0;Probably Clear;-15;145.34;0.866;4.4;95.71;-15;1020
2014;1;4;3;0;0.0;0.0;0.0;0.0;0.0;0.0;Super-Cooled Water;-15;154.66;0.866;4.0;92.51;-15;1020
2014;1;4;4;0;0.0;0.0;0.0;0.0;0.0;0.0;Super-Cooled Water;-16;160.22;0.866;3.6;96.57;-16;1020
2014;1;4;5;0;0.0;0.0;0.0;0.0;0.0;0.0;Overlapping;-16;158.73;0.866;3.3;93.25;-16;1020
2014;1;4;6;0;0.0;0.0;0.0;0.0;0.0;0.0;Overlapping;-17;151.26;0.866;3.0;89.83;-16;1020
2014;1;4;7;0;0.0;0.0;0.0;0.0;0.0;0.0;Overlapping;-17;141.24;0.866;2.8;80.47;-15;1020
2014;1;4;8;0;0.0;0.0;0.0;0.0;0.0;0.0;Overlapping;-17;130.33;0.866;2.7;78.97;-15;1020
2014;1;4;9;0;0.0;0.0;0.0;0.0;0.0;0.0;Overlapping;-17;119.22;0.866;2.6;78.57;-15;1020
2014;1;4;10;0;0.0;0.0;0.0;0.0;0.0;0.0;Overlapping;-17;108.27;0.866;2.6;79.41;-15;1020
2014;1;4;11;0;0.0;0.0;0.0;0.0;0.0;0.0;Overlapping;-17;97.77;0.866;2.7;74.64;-14;1020
2014;1;4;12;0;;;;;;;;-17;88.0;0.866;2.8;70.86;-13;1020
2014;1;4;13;0;48.0;642.0;167.0;48.0;642.0;167.0;Probably Clear;-15;79.35;0.866;2.8;67.36;-11;1020
2014;1;4;14;0;68.0;780.0;306.0;68.0;780.0;306.0;Clear;-13;72.27;0.866;3.0;69.93;-9;1020
2014;1;4;15;0;77.0;853.0;406.0;77.0;853.0;406.0;Clear;-12;67.29;0.866;3.2;67.51;-7;1020
2014;1;4;16;0;80.0;881.0;453.0;80.0;881.0;453.0;Clear;-10;64.94;0.866;3.4;65.46;-5;1020
