Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2017,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,1,123.98,0.109,5.1,85.43,4,1010
2017,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Opaque Ice,2,135.06,0.109,5.2,90.6,4,1000
2017,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,Opaque Ice,3,145.73,0.109,5.1,88.62,5,1000
2017,1,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,Opaque Ice,3,155.03,0.109,4.8,90.55,5,1000
2017,1,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,Opaque Ice,3,160.53,0.109,4.6,95.19,4,1000
2017,1,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,Opaque Ice,2,158.85,0.109,4.4,98.98,3,1000
2017,1,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,2,151.26,0.109,4.1,97.8,3,1000
2017,1,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,Opaque Ice,2,141.18,0.109,4.0,100.0,2,1000
2017,1,1,8,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,2,130.25,0.109,3.9,100.0,2,1000
2017,1,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,2,119.14,0.109,3.8,100.0,2,1000
2017,1,1,10,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,2,108.21,0.109,3.7,100.0,2,1000
2017,1,1,11,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,2,97.73,0.109,3.5,100.0,2,1010
2017,1,1,12,0,15.0,111.0,19.0,15.0,111.0,19.0,Probably Clear,1,88.0,0.109,3.4,99.16,2,1010
2017,1,1,13,0,54.0,521.0,150.0,54.0,521.0,150.0,Clear,1,79.4,0.109,3.4,99.9,2,1010
2017,1,1,14,0,68.0,722.0,286.0,68.0,722.0,286.0,Clear,2,72.38,0.109,3.9,93.99,3,1010
2017,1,1,15,0,,,,,,,,1,67.47,0.109,4.4,81.34,4,1010
2017,1,1,16,0,74.0,850.0,431.0,74.0,850.0,431.0,Clear,0,65.19,0.109,4.4,73.45,4,1010
2017,1,1,17,0,73.0,844.0,419.0,73.0,844.0,419.0,Clear,0,65.81,0.109,4.3,66.5,5,1010
2017,1,1,18,0,68.0,805.0,353.0,68.0,805.0,353.0,Clear,0,69.26,0.109,4.1,70.68,4,1010
2017,1,1,19,0,57.0,712.0,239.0,57.0,712.0,239.0,Clear,0,75.13,0.109,4.0,76.25,3,1010
2017,1,1,20,0,36.0,499.0,98.0,36.0,499.0,98.0,Probably Clear,0,82.88,0.109,3.8,83.83,2,1020
2017,1,1,21,0,0.0,0.0,0.0,0.0,0.0,0.0,Probably Clear,0,92.02,0.109,3.6,90.5,1,1020
2017,1,1,22,0,0.0,0.0,0.0,0.0,0.0,0.0,Probably Clear,0,102.1,0.109,3.4,96.57,0,1020
2017,1,1,23,0,0.0,0.0,0.0,0.0,0.0,0.0,Probably Clear,0,112.8,0.109,3.3,94.32,0,1020
2017,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Probably Clear,-1,123.84,0.109,3.1,91.78,0,1020
2017,1,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Probably Clear,-1,134.92,0.109,3.0,89.05,0,1020
2017,1,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,Probably Clear,-2,145.59,0.109,2.9,86.34,0,1020
2017,1,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,Clear,-2,154.9,0.109,2.7,84.61,0,1020
2017,1,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,-2,160.42,0.109,2.5,89.73,-1,1020
2017,1,2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,-2,158.81,0.109,2.3,82.62,0,1020
2017,1,2,6,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,-2,151.27,0.109,2.0,81.8,0,1020
2017,1,2,7,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,-2,141.21,0.109,1.8,81.08,0,1020
2017,1,2,8,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,-3,130.29,0.109,1.6,79.4,0,1020
2017,1,2,9,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,-3,119.18,0.109,1.5,76.33,0,1020
2017,1,2,10,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,-3,108.24,0.109,1.6,76.36,0,1020
2017,1,2,11,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,-3,97.75,0.109,1.7,77.37,0,1020
2017,1,2,12,0,,,,,,,,-2,88.01,0.109,1.6,80.9,0,1020
2017,1,2,13,0,,,,,,,,-1,79.39,0.109,1.4,75.38,2,1030
2017,1,2,14,0,,,,,,,,-1,72.34,0.109,1.5,70.7,3,1030
2017,1,2,15,0,154.0,268.0,257.0,67.0,823.0,384.0,Overlapping,-1,67.41,0.109,1.8,65.9,4,1020
2017,1,2,16,0,182.0,111.0,229.0,71.0,844.0,426.0,Overlapping,-1,65.1,0.109,1.9,63.48,5,1020
2017,1,2,17,0,169.0,52.0,190.0,70.0,832.0,413.0,Opaque Ice,0,65.7,0.109,2.0,66.06,5,1020
2017,1,2,18,0,,,,,,,,0,69.14,0.109,2.0,74.16,4,1020
2017,1,2,19,0,,,,,,,,0,74.99,0.109,2.0,85.15,3,1020
2017,1,2,20,0,,,,,,,,1,82.75,0.109,2.2,93.34,2,1020
2017,1,2,21,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,0,91.87,0.109,2.5,91.92,2,1020
2017,1,2,22,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,1,101.96,0.109,2.7,93.61,2,1020
2017,1,2,23,0,,,,,,,Overlapping,1,112.66,0.109,2.8,94.89,2,1020
2017,1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,1,123.7,0.109,2.9,89.68,3,1020
2017,1,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,1,134.78,0.109,3.0,90.86,3,1020
2017,1,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,1,145.45,0.109,3.2,92.27,3,1020
2017,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,2,154.76,0.109,3.5,93.58,3,1020
2017,1,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,1,160.31,0.109,3.7,86.78,4,1020
2017,1,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,2,158.76,0.109,3.7,87.14,4,1020
2017,1,3,6,0,0.0,0.0,0.0,0.0,0.0,0.0,Probably Clear,2,151.27,0.109,3.8,88.27,4,1020
2017,1,3,7,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,2,141.23,0.109,4.0,89.34,4,1020
2017,1,3,8,0,0.0,0.0,0.0,0.0,0.0,0.0,Super-Cooled Water,2,130.31,0.109,4.2,89.99,4,1020
2017,1,3,9,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,2,119.2,0.109,4.2,90.85,4,1020
2017,1,3,10,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,2,108.26,0.109,4.4,92.44,4,1010
2017,1,3,11,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,3,97.76,0.109,4.5,93.49,4,1010
2017,1,3,12,0,,,,,,,Overlapping,3,88.01,0.109,4.6,94.7,4,1010
2017,1,3,13,0,,,,,,,,3,79.37,0.109,4.8,96.37,4,1010
2017,1,3,14,0,,,,,,,,3,72.3,0.109,4.9,97.98,4,1010
2017,1,3,15,0,58.0,0.0,58.0,103.0,633.0,347.0,Overlapping,3,67.35,0.109,5.0,92.7,5,1010
2017,1,3,16,0,80.0,0.0,80.0,116.0,635.0,385.0,Opaque Ice,4,65.01,0.109,5.1,94.31,5,1010
2017,1,3,17,0,67.0,0.0,67.0,117.0,619.0,372.0,Opaque Ice,4,65.59,0.109,5.2,95.72,5,1010
2017,1,3,18,0,,,,,,,,4,69.01,0.109,5.2,97.64,5,1000
2017,1,3,19,0,,,,,,,,4,74.86,0.109,5.3,99.79,5,1000
2017,1,3,20,0,,,,,,,,4,82.6,0.109,5.4,100.0,5,1000
2017,1,3,21,0,0.0,0.0,0.0,0.0,0.0,0.0,Opaque Ice,5,91.73,0.109,5.7,97.09,6,1000
2017,1,3,22,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,5,101.81,0.109,5.8,99.42,6,1000
2017,1,3,23,0,,,,,,,Overlapping,6,112.52,0.109,5.3,100.0,6,990
2017,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Overlapping,6,123.56,0.109,4.1,100.0,6,990
